09:39:23 Pod redisoperator-56c8dfdfb-vl45k 798:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-vl45k to acto-cluster-7-worker2
09:52:15 Pod rfs-test-cluster-8957ffc5b-25rc6 2468:	Successfully assigned acto-namespace/rfs-test-cluster-8957ffc5b-25rc6 to acto-cluster-7-worker
09:52:16 Pod rfs-test-cluster-8957ffc5b-25rc6 2471:	Container image "redis:6.2.6-alpine" already present on machine
09:52:16 Pod rfs-test-cluster-8957ffc5b-25rc6 2471:	Created container sentinel-config-copy
09:52:33 Pod rfs-test-cluster-8957ffc5b-25rc6 2471:	Started container sentinel-config-copy
09:52:35 Pod rfs-test-cluster-8957ffc5b-25rc6 2471:	Container image "redis:6.2.6-alpine" already present on machine
09:52:35 Pod rfs-test-cluster-8957ffc5b-25rc6 2471:	Created container sentinel
09:52:35 Pod rfs-test-cluster-8957ffc5b-25rc6 2471:	Started container sentinel
09:56:38 Pod rfs-test-cluster-8957ffc5b-25rc6 2471:	Stopping container sentinel
09:51:25 Pod rfs-test-cluster-8957ffc5b-5gpg7 2339:	Successfully assigned acto-namespace/rfs-test-cluster-8957ffc5b-5gpg7 to acto-cluster-7-worker3
09:51:26 Pod rfs-test-cluster-8957ffc5b-5gpg7 2343:	Container image "redis:6.2.6-alpine" already present on machine
09:51:26 Pod rfs-test-cluster-8957ffc5b-5gpg7 2343:	Created container sentinel-config-copy
09:51:39 Pod rfs-test-cluster-8957ffc5b-5gpg7 2343:	Started container sentinel-config-copy
09:51:41 Pod rfs-test-cluster-8957ffc5b-5gpg7 2343:	Container image "redis:6.2.6-alpine" already present on machine
09:51:41 Pod rfs-test-cluster-8957ffc5b-5gpg7 2343:	Created container sentinel
09:51:41 Pod rfs-test-cluster-8957ffc5b-5gpg7 2343:	Started container sentinel
09:54:58 Pod rfs-test-cluster-8957ffc5b-5gpg7 2343:	Stopping container sentinel
09:50:35 Pod rfs-test-cluster-8957ffc5b-ttxsd 2223:	Successfully assigned acto-namespace/rfs-test-cluster-8957ffc5b-ttxsd to acto-cluster-7-worker2
09:50:36 Pod rfs-test-cluster-8957ffc5b-ttxsd 2226:	Container image "redis:6.2.6-alpine" already present on machine
09:50:36 Pod rfs-test-cluster-8957ffc5b-ttxsd 2226:	Created container sentinel-config-copy
09:50:50 Pod rfs-test-cluster-8957ffc5b-ttxsd 2226:	Started container sentinel-config-copy
09:50:52 Pod rfs-test-cluster-8957ffc5b-ttxsd 2226:	Container image "redis:6.2.6-alpine" already present on machine
09:50:53 Pod rfs-test-cluster-8957ffc5b-ttxsd 2226:	Created container sentinel
09:50:53 Pod rfs-test-cluster-8957ffc5b-ttxsd 2226:	Started container sentinel
09:55:48 Pod rfs-test-cluster-8957ffc5b-ttxsd 2226:	Stopping container sentinel
