06:54:16 ReplicaSet rfs-test-cluster-64c7df4bf7 3175:	Created pod: rfs-test-cluster-64c7df4bf7-rllbl
06:55:06 ReplicaSet rfs-test-cluster-64c7df4bf7 3303:	Created pod: rfs-test-cluster-64c7df4bf7-g4bj7
06:42:45 Pod rfs-test-cluster-6b66d4497f-24tgt 1547:	Successfully assigned acto-namespace/rfs-test-cluster-6b66d4497f-24tgt to acto-cluster-1-worker2
06:42:46 Pod rfs-test-cluster-6b66d4497f-24tgt 1549:	Container image "redis:6.2.6-alpine" already present on machine
06:42:46 Pod rfs-test-cluster-6b66d4497f-24tgt 1549:	Created container sentinel-config-copy
06:42:59 Pod rfs-test-cluster-6b66d4497f-24tgt 1549:	Started container sentinel-config-copy
06:43:01 Pod rfs-test-cluster-6b66d4497f-24tgt 1549:	Container image "redis:6.2.6-alpine" already present on machine
06:43:02 Pod rfs-test-cluster-6b66d4497f-24tgt 1549:	Created container sentinel
06:43:02 Pod rfs-test-cluster-6b66d4497f-24tgt 1549:	Started container sentinel
06:43:02 Pod rfs-test-cluster-6b66d4497f-24tgt 1549:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:43:02 Pod rfs-test-cluster-6b66d4497f-24tgt 1549:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 117.530145ms
06:43:02 Pod rfs-test-cluster-6b66d4497f-24tgt 1549:	Created container sentinel-exporter
06:43:05 Pod rfs-test-cluster-6b66d4497f-24tgt 1549:	Started container sentinel-exporter
06:48:49 Pod rfs-test-cluster-6b66d4497f-24tgt 1549:	Stopping container sentinel
06:48:49 Pod rfs-test-cluster-6b66d4497f-24tgt 1549:	Stopping container sentinel-exporter
06:51:34 Pod rfs-test-cluster-6b66d4497f-8fthn 2807:	Successfully assigned acto-namespace/rfs-test-cluster-6b66d4497f-8fthn to acto-cluster-1-worker3
06:51:35 Pod rfs-test-cluster-6b66d4497f-8fthn 2810:	Container image "redis:6.2.6-alpine" already present on machine
06:51:35 Pod rfs-test-cluster-6b66d4497f-8fthn 2810:	Created container sentinel-config-copy
06:51:47 Pod rfs-test-cluster-6b66d4497f-8fthn 2810:	Started container sentinel-config-copy
06:51:49 Pod rfs-test-cluster-6b66d4497f-8fthn 2810:	Container image "redis:6.2.6-alpine" already present on machine
06:51:49 Pod rfs-test-cluster-6b66d4497f-8fthn 2810:	Created container sentinel
06:51:49 Pod rfs-test-cluster-6b66d4497f-8fthn 2810:	Started container sentinel
06:51:49 Pod rfs-test-cluster-6b66d4497f-8fthn 2810:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:51:49 Pod rfs-test-cluster-6b66d4497f-8fthn 2810:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 117.640164ms
06:51:49 Pod rfs-test-cluster-6b66d4497f-8fthn 2810:	Created container sentinel-exporter
06:51:52 Pod rfs-test-cluster-6b66d4497f-8fthn 2810:	Started container sentinel-exporter
06:55:06 Pod rfs-test-cluster-6b66d4497f-8fthn 2810:	Stopping container sentinel
06:55:06 Pod rfs-test-cluster-6b66d4497f-8fthn 2810:	Stopping container sentinel-exporter
06:44:26 Pod rfs-test-cluster-6b66d4497f-dk4cg 1804:	Successfully assigned acto-namespace/rfs-test-cluster-6b66d4497f-dk4cg to acto-cluster-1-worker
06:44:27 Pod rfs-test-cluster-6b66d4497f-dk4cg 1807:	Container image "redis:6.2.6-alpine" already present on machine
06:44:27 Pod rfs-test-cluster-6b66d4497f-dk4cg 1807:	Created container sentinel-config-copy
06:44:39 Pod rfs-test-cluster-6b66d4497f-dk4cg 1807:	Started container sentinel-config-copy
06:44:41 Pod rfs-test-cluster-6b66d4497f-dk4cg 1807:	Container image "redis:6.2.6-alpine" already present on machine
06:44:41 Pod rfs-test-cluster-6b66d4497f-dk4cg 1807:	Created container sentinel
06:44:41 Pod rfs-test-cluster-6b66d4497f-dk4cg 1807:	Started container sentinel
06:44:41 Pod rfs-test-cluster-6b66d4497f-dk4cg 1807:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:44:41 Pod rfs-test-cluster-6b66d4497f-dk4cg 1807:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 106.739527ms
06:44:41 Pod rfs-test-cluster-6b66d4497f-dk4cg 1807:	Created container sentinel-exporter
06:44:43 Pod rfs-test-cluster-6b66d4497f-dk4cg 1807:	Started container sentinel-exporter
06:47:59 Pod rfs-test-cluster-6b66d4497f-dk4cg 1807:	Stopping container sentinel
06:47:59 Pod rfs-test-cluster-6b66d4497f-dk4cg 1807:	Stopping container sentinel-exporter
06:50:44 Pod rfs-test-cluster-6b66d4497f-k5kq6 2678:	Successfully assigned acto-namespace/rfs-test-cluster-6b66d4497f-k5kq6 to acto-cluster-1-worker
06:50:45 Pod rfs-test-cluster-6b66d4497f-k5kq6 2683:	Container image "redis:6.2.6-alpine" already present on machine
06:50:45 Pod rfs-test-cluster-6b66d4497f-k5kq6 2683:	Created container sentinel-config-copy
06:50:58 Pod rfs-test-cluster-6b66d4497f-k5kq6 2683:	Started container sentinel-config-copy
06:50:59 Pod rfs-test-cluster-6b66d4497f-k5kq6 2683:	Container image "redis:6.2.6-alpine" already present on machine
06:50:59 Pod rfs-test-cluster-6b66d4497f-k5kq6 2683:	Created container sentinel
06:51:00 Pod rfs-test-cluster-6b66d4497f-k5kq6 2683:	Started container sentinel
06:51:00 Pod rfs-test-cluster-6b66d4497f-k5kq6 2683:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:51:00 Pod rfs-test-cluster-6b66d4497f-k5kq6 2683:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 119.532032ms
06:51:00 Pod rfs-test-cluster-6b66d4497f-k5kq6 2683:	Created container sentinel-exporter
06:51:02 Pod rfs-test-cluster-6b66d4497f-k5kq6 2683:	Started container sentinel-exporter
06:55:57 Pod rfs-test-cluster-6b66d4497f-k5kq6 2683:	Stopping container sentinel
06:55:57 Pod rfs-test-cluster-6b66d4497f-k5kq6 2683:	Stopping container sentinel-exporter
06:49:54 Pod rfs-test-cluster-6b66d4497f-tz5sk 2554:	Successfully assigned acto-namespace/rfs-test-cluster-6b66d4497f-tz5sk to acto-cluster-1-worker2
06:49:55 Pod rfs-test-cluster-6b66d4497f-tz5sk 2557:	Container image "redis:6.2.6-alpine" already present on machine
06:49:55 Pod rfs-test-cluster-6b66d4497f-tz5sk 2557:	Created container sentinel-config-copy
06:50:10 Pod rfs-test-cluster-6b66d4497f-tz5sk 2557:	Started container sentinel-config-copy
06:50:12 Pod rfs-test-cluster-6b66d4497f-tz5sk 2557:	Container image "redis:6.2.6-alpine" already present on machine
