23:38:47 Pod test-cluster-leader-2 2410:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-11-worker2
23:38:48 Pod test-cluster-leader-2 2411:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:38:48 Pod test-cluster-leader-2 2411:	Created container test-cluster-leader
23:38:49 Pod test-cluster-leader-2 2411:	Started container test-cluster-leader
23:38:49 Pod test-cluster-leader-2 2411:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:38:49 Pod test-cluster-leader-2 2411:	Created container redis-exporter
23:38:51 Pod test-cluster-leader-2 2411:	Started container redis-exporter
23:41:57 Pod test-cluster-leader-2 2411:	Stopping container test-cluster-leader
23:41:57 Pod test-cluster-leader-2 2411:	Stopping container redis-exporter
23:42:28 Pod test-cluster-leader-2 3214:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-11-worker2
23:42:29 Pod test-cluster-leader-2 3215:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:42:29 Pod test-cluster-leader-2 3215:	Created container test-cluster-leader
23:42:30 Pod test-cluster-leader-2 3215:	Started container test-cluster-leader
23:42:30 Pod test-cluster-leader-2 3215:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:42:30 Pod test-cluster-leader-2 3215:	Created container redis-exporter
23:42:32 Pod test-cluster-leader-2 3215:	Started container redis-exporter
23:45:40 Pod test-cluster-leader-2 3215:	Stopping container test-cluster-leader
23:45:40 Pod test-cluster-leader-2 3215:	Stopping container redis-exporter
23:46:11 Pod test-cluster-leader-2 4020:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-11-worker2
23:46:13 Pod test-cluster-leader-2 4023:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:46:13 Pod test-cluster-leader-2 4023:	Created container test-cluster-leader
23:46:15 Pod test-cluster-leader-2 4023:	Started container test-cluster-leader
23:46:15 Pod test-cluster-leader-2 4023:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:46:15 Pod test-cluster-leader-2 4023:	Created container redis-exporter
23:46:16 Pod test-cluster-leader-2 4023:	Started container redis-exporter
23:32:13 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 863:	waiting for first consumer to be created before binding
23:32:13 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 870:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
23:32:13 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 870:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-0"
23:32:17 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 870:	Successfully provisioned volume pvc-cd6f884a-a8d1-4389-bbcf-8d984509d43e
23:32:48 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1050:	waiting for first consumer to be created before binding
23:32:48 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1059:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
23:32:48 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1059:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-1"
23:32:52 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1059:	Successfully provisioned volume pvc-474092cf-96e1-4cf0-950c-3a4c0bbb9eea
23:33:24 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1228:	waiting for first consumer to be created before binding
